CommentID,VideoID,VideoTitle,AuthorName,AuthorChannelID,CommentText,Sentiment,Likes,Replies,PublishedAt,CountryCode,CategoryID,CommentTextWithContext
UgzgD_1h5AyL0E5VwZN4AaABAg,ep6joChbCaI,Israeli hostages reunited with their mothers,@1221sabmur,UC7XjHUrtikcw1tKQP9VjFPg,FREE PALESTINE 🇵🇸🍉,Negative,2,1,2025-01-20 23:40:31,US,25,Video Title: Israeli hostages reunited with their mothers. Comment: FREE PALESTINE 🇵🇸🍉
UgxGC9ogC3Yeth1UsrV4AaABAg,fJmbezgXzUI,'How are you so grossly underprepared?': Jillian Michaels rips California leaders,@neilabeyta3027,UCK3r_WfwM4RHNqUmSFfw4Yw,California political leaders are a trainwreck  !!,Negative,0,0,2025-01-14 01:12:13,IE,25,Video Title: 'How are you so grossly underprepared?': Jillian Michaels rips California leaders. Comment: California political leaders are a trainwreck  !!
UgxEvSVWqSTiKiDVFNZ4AaABAg,PWMbnXn6s54,"Live Coverage: Latest on Los Angeles-area wildfires, evacuation orders, more | CBS News Los Angeles",@RichardCallison-r9c,UChMt5K5ev2lsYV_2ai16S1w,"Let’s bury the power lines Mr Powell! In 2023, Steven D. Powell, the CEO of Southern California Edison (SCE), received total compensation of $3,184,517.
This compensation included:
• Salary: $707,500
• Bonus: $594,683
• Stock options: $464,761
• Stock: $1,394,348
• Other compensation: $23,225",Negative,0,0,2025-01-12 23:31:26,AU,25,"Video Title: Live Coverage: Latest on Los Angeles-area wildfires, evacuation orders, more | CBS News Los Angeles. Comment: Let’s bury the power lines Mr Powell! In 2023, Steven D. Powell, the CEO of Southern California Edison (SCE), received total compensation of $3,184,517.
This compensation included:
• Salary: $707,500
• Bonus: $594,683
• Stock options: $464,761
• Stock: $1,394,348
• Other compensation: $23,225"
UgzVadh-R33-P7Zemv14AaABAg,RJnHgRei5Co,iShowSpeed Recreate Ronaldo Jump 🤯🔥,@HeniSuyanti-hb7nj,UCCg3WpHqOwfIsPsuVGaoEBw,😱☠️💀,Neutral,0,0,2025-01-13 11:52:11,AU,17,Video Title: iShowSpeed Recreate Ronaldo Jump 🤯🔥. Comment: 😱☠️💀
UgzujiKpHsWvZst1yQd4AaABAg,eci9iU_s6Ag,#34 Python Tutorial for Beginners | Types of Arguments in Python,@jagdambatripathi5532,UCEAFsy16F7cEAp_fON2HR-A,Thank you sir for making such videos on python,Positive,1,0,2019-08-20 10:43:06,IN,27,Video Title: #34 Python Tutorial for Beginners | Types of Arguments in Python. Comment: Thank you sir for making such videos on python
UgiC34qyFd8ybngCoAEC,3E46oWB4V0s,The psychology of seduction | Raj Persaud | TEDxUniversityofBristol,@xPurity,UCuSt3A6XsAofh23RedasH-A,"Reminds me of why people like people who 'play hard to get', it's because being able to see that change/impact that happens is seductive... when that person finally 'warms up'",Positive,1370,10,2017-01-28 09:51:42,US,25,"Video Title: The psychology of seduction | Raj Persaud | TEDxUniversityofBristol. Comment: Reminds me of why people like people who 'play hard to get', it's because being able to see that change/impact that happens is seductive... when that person finally 'warms up'"
Ugy2gbctC5YdcKIj4ft4AaABAg,Jo8DuEHc-SQ,Biker stands up for himself when approached by this stranger 😱 @Undisclosed_Moto,@ChefJ9,UCF7VRzpxonlWMbUeWcmWIBA,Handled perfectly,Positive,0,0,2025-01-14 23:05:46,NZ,2,Video Title: Biker stands up for himself when approached by this stranger 😱 @Undisclosed_Moto. Comment: Handled perfectly
UgxFx0VJ66ZlJ8fNYjB4AaABAg_aug,MKJQGasI0Nw,This is Hilarious,AugmentedUser,AugmentedCID,"The most insane thing about this is that my highest level character is only level 40 and EVEN I UNDERSTAND THESE BASICS. You don't need hundreds of hours to figure this out; it only takes about 10, meaning he's likely played less than 10 hours and is boasting about his gaming skills. It's essentially like using an aimbot and then bragging about your precision; it's incredibly immature.",Negative,0,0,2025-02-04 13:01:14,NZ,20,"Video Title: This is Hilarious. Comment: The most insane thing about this is that my highest level character is only level 40 and EVEN I UNDERSTAND THESE BASICS. You don't need hundreds of hours to figure this out; it only takes about 10, meaning he's likely played less than 10 hours and is boasting about his gaming skills. It's essentially like using an aimbot and then bragging about your precision; it's incredibly immature."
UgwGSKG4KApNmssDXvV4AaABAg,-JcbIj3IAUE,This is so true 😅😂,@AviationHandling,UCQwOyoQjMj3vFLudpbTAIWQ,"Only that creature on earth have this talent we can't live without, women 💕",Positive,0,0,2025-01-13 21:19:33,IE,26,"Video Title: This is so true 😅😂. Comment: Only that creature on earth have this talent we can't live without, women 💕"
UgwueUPtdC_h6-V2RyZ4AaABAg,ONwjYOrCBV0,Joe Rogan’s chilling LA wildfire prediction resurfaces,@LegendMathai,UC0_IdzS8Pilx4ZXb4469ctA,"6 years ago President Trump warned us all as well. That whole town of Paradise, we’re roomed up in every hotel in Reno & Spark NV. I lived there during that time. Newsom is a POS.",Negative,0,0,2025-01-15 02:26:28,NZ,25,"Video Title: Joe Rogan’s chilling LA wildfire prediction resurfaces. Comment: 6 years ago President Trump warned us all as well. That whole town of Paradise, we’re roomed up in every hotel in Reno & Spark NV. I lived there during that time. Newsom is a POS."
UgwaPNq1SgfVT9OoI_J4AaABAg_aug,21FnnGKSRZo,3 Mini Python Projects - For Beginners,AugmentedUser,AugmentedCID,"In the first game, my output displays 'player 1 turn', 'player 2 turn', etc. for each player I input. For instance, if I input three players, it says 'all 3 players turns have started'. I'm struggling to find the issue in my code. Any advice?",Negative,0,0,2025-02-02 14:53:16,US,27,"Video Title: 3 Mini Python Projects - For Beginners. Comment: In the first game, my output displays 'player 1 turn', 'player 2 turn', etc. for each player I input. For instance, if I input three players, it says 'all 3 players turns have started'. I'm struggling to find the issue in my code. Any advice?"
